state	tested	positive	deaths	tested crawl date	positive crawl date	deaths crawl date	tested source	positive source	deaths source
GA									
HI		1			2020-03-08 13:28:03 -0700			https://health.hawaii.gov/docd/advisories/novel-coronavirus-2019/	
IA	17	0		2020-03-08 13:28:04 -0700	2020-03-08 13:28:04 -0700		https://idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus	https://idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus	
ID	27	0		3/6/2020	3/6/2020		https://healthandwelfare.idaho.gov/COVID19/tabid/4664/Default.aspx	https://healthandwelfare.idaho.gov/COVID19/tabid/4664/Default.aspx	
IL	241	6		March 7, 2020	March 7, 2020		http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus	http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus	
IN		1			2020-03-08 13:28:56 -0700			https://www.in.gov/isdh/28470.htm	
KS		1			2020-03-08 13:28:57 -0700			http://www.kdheks.gov/coronavirus/index.htm	
KY	14	1		March 7, 2020	March 7, 2020		https://chfs.ky.gov/agencies/dph/Pages/covid19.aspx	https://chfs.ky.gov/agencies/dph/Pages/covid19.aspx	
LA	8	0		2020-03-07 14:26:02 -0800	2020-03-08 13:29:20 -0700		https://www.wafb.com/2020/03/07/tested-la-coronavirus-are-negative-health-officials-say/	http://ldh.la.gov/index.cfm/page/3835	
MA		28			March 8, 2020			https://www.mass.gov/info-details/covid-19-quarantine-and-monitoring	
MD	55	3		2020-03-08 13:29:23 -0700	2020-03-08 13:29:23 -0700		https://phpa.health.maryland.gov/Pages/Novel-coronavirus.aspx	https://phpa.health.maryland.gov/Pages/Novel-coronavirus.aspx	
ME		0			2020-03-08 13:29:59 -0700			https://www.maine.gov/dhhs/mecdc/health-advisory.shtml?id=2182936	
MI	36	0		3/7/2020	3/7/2020		https://www.michigan.gov/coronavirus	https://www.michigan.gov/coronavirus	
MN	49	1		March 6, 2020 at 3:00 p.m.	March 6, 2020 at 3:00 p.m.		https://www.health.state.mn.us/diseases/coronavirus/situation.html	https://www.health.state.mn.us/diseases/coronavirus/situation.html	
MO		1			2020-03-08 13:30:00 -0700			https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/	
MS		0			March 3, 2020			https://msdh.ms.gov/msdhsite/_static/14,0,420.html	
MT	11	0		2020-03-08 13:30:02 -0700	2020-03-08 13:30:02 -0700		https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt	https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt	
NC									
ND		0			2020-03-08 13:30:43 -0700			https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases	
NE	23	1		March 7, 2020	March 7, 2020		http://dhhs.ne.gov/Pages/Coronavirus.aspx	http://dhhs.ne.gov/Pages/Coronavirus.aspx	
NH	47	4		March 8, 2020, 10:30 a.m.	March 8, 2020, 10:30 a.m.		https://www.dhhs.nh.gov/dphs/cdcs/2019-ncov.htm	https://www.dhhs.nh.gov/dphs/cdcs/2019-ncov.htm	
NJ	37	6		2020-03-08 13:31:07 -0700	2020-03-08 13:31:07 -0700		https://www.nj.gov/health/	https://www.nj.gov/health/	
NM	46	0		March 7, 2020	March 7, 2020		https://nmhealth.org/about/erd/ideb/ncov/	https://nmhealth.org/about/erd/ideb/ncov/	
NV	14	0		3/3/2020, 5:40 PM	3/3/2020, 5:40 PM		http://dpbh.nv.gov/coronavirus/	http://dpbh.nv.gov/coronavirus/	
NY	361	105		3pm March 6, 2020	11am March 8, 2020		https://www.health.ny.gov/diseases/communicable/coronavirus/	https://www.health.ny.gov/diseases/communicable/coronavirus/	
OH	14	0		03/08/20	03/08/20		https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/Novel-Coronavirus/2019-nCoV	https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/Novel-Coronavirus/2019-nCoV	
OK	9	1		2020-03-08 13:31:57 -0700	2020-03-08 13:31:57 -0700		https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/Coronavirus_Disease_2019/Oklahoma_Response_to_Coronavirus_Disease_2019/index.html	https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/Coronavirus_Disease_2019/Oklahoma_Response_to_Coronavirus_Disease_2019/index.html	
OR	167	14		2020-03-08 13:31:59 -0700	2020-03-08 13:31:59 -0700		https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx	https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Pages/emerging-respiratory-infections.aspx	
PA		4			March 8,&#160;2020			https://www.health.pa.gov/topics/disease/Pages/Coronavirus.aspx	
RI		2			2020-03-08 13:32:01 -0700			https://health.ri.gov/diseases/respiratory/?parm=163	
SC									
SD	5	0		March 6, 2020	March 6, 2020		https://doh.sd.gov/news/Coronavirus.aspx	https://doh.sd.gov/news/Coronavirus.aspx	
TN									
TX		8			2020-03-08 13:32:37 -0700			https://www.dshs.state.tx.us/coronavirus/#casecounts	
UT		1			2020-03-08 13:32:37 -0700			https://coronavirus.utah.gov/coronavirus-latest-information/	
VA	44	2		2020-03-08 13:32:38 -0700	2020-03-08 13:32:38 -0700		https://vdhdata.vdh.virginia.gov/views/COVID-19inVirginia/External	https://vdhdata.vdh.virginia.gov/views/COVID-19inVirginia/External	
VT	29	1		March 8, 2020	March 8, 2020		https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus	https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus	
WA		102	16		March 7, 2020 at 11:00 a.m	March 7, 2020 at 11:00 a.m		https://www.doh.wa.gov/emergencies/coronavirus	https://www.doh.wa.gov/emergencies/coronavirus
WI	44	1		March 6, 2020	March 6, 2020		https://www.dhs.wisconsin.gov/outbreaks/index.htm	https://www.dhs.wisconsin.gov/outbreaks/index.htm	
WV	5	0		March 7, 2020	March 7, 2020		https://dhhr.wv.gov/Coronavirus%20Disease-COVID-19/Pages/default.aspx	https://dhhr.wv.gov/Coronavirus%20Disease-COVID-19/Pages/default.aspx	
WY		0			2020-03-08 13:34:02 -0700			https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/	
